Rank,Name,Industry,Revenue,Revenue growth,Profits,Headquarters,State Controlled
1,Indian Oil Corporation,Oil and gas,424321,13.20%,22189,New Delhi,Yes
2,Reliance Industries Limited,Oil and gas,410295,28.20%,36075,Mumbai,No
3,Oil and Natural Gas Corporation,Oil and gas,333143,11.00%,22106,New Delhi,Yes
4,State Bank of India,Banking,306528,2.60%,"4,556",Mumbai,Yes
5,Tata Motors,Automotive,301175,7.90%,8989,Mumbai,No
6,Bharat Petroleum,Oil and gas,238638,13.70%,9009,Mumbai,Yes
7,Hindustan Petroleum,Oil and gas,221693,13.40%,7218,Mumbai,Yes
8,Rajesh Exports,Gems and jewellery,187748,22.50%,1266,Bangalore,No
9,Tata Steel,Iron and steel,147192,25.30%,13434,Mumbai,No
10,Coal India,Metals and mining,132897,5.30%,7020,Kolkata,Yes
11,Tata Consultancy Services,Infotech,126745,3.60%,25826,Mumbai,No
12,Larsen & Toubro,Capital goods,122743,10.60%,7370,Mumbai,No
13,Hindalco Industries,Metals and mining,120428,15.50%,6083,Mumbai,No
14,ICICI Bank,Banking,118969,4.90%,7712,Mumbai,No
15,Vedanta Resources,Metals and mining,102192,30.80%,10342,"London, UK",No
16,HDFC Bank,Banking,101344,17.60%,18510,Mumbai,No
17,Mahindra & Mahindra,Automotive,96377,12.20%,7510,Mumbai,No
18,NTPC Limited,Utilities,90144,7.70%,10544,New Delhi,Yes
19,Bharti Airtel,Telecommunication,86704,13.00%,1099,New Delhi,No
20,Maruti Suzuki India,Automotive,81978,15.60%,7880,New Delhi,No
21,Infosys,Infotech,73762,3.10%,16029,Bangalore,No
22,Nayara Energy,Oil and gas,73015,10.70%,576,Mumbai,No
23,HDFC,Financials,72596,18.90%,16255,Mumbai,No
24,JSW Steel Ltd,Iron and steel,70148,22.60%,6214,Mumbai,No
25,Axis Bank,Banking,58477,1.50%,456,Mumbai,Yes
26,Steel Authority of India,Iron and steel,57626,28.80%,281,New Delhi,Yes
27,Punjab National Bank,Banking,57608,0.70%,"12,130",New Delhi,Yes
28,Grasim Industries,Diversified,57273,54.90%,2679,Mumbai,No
29,Wipro,Infotech,56986,1.60%,8003,Bangalore,No
30,Motherson Sumi Systems,Automotive,56839,32.70%,1597,Noida,No
31,GAIL,Oil and gas,55503,11.60%,4799,New Delhi,Yes
32,Bank of Baroda,Banking,54048,3.10%,"1,887",Vadodara,Yes
33,HCL Technologies,Infotech,51695,6.30%,8721,Noida,No
34,MRPL,Oil and gas,50209,8.90%,1993,Mangalore,Yes
35,Canara Bank,Banking,48743,1.20%,"3,951",Bangalore,Yes
36,ITC Limited,Consumer goods,44674,1.60%,11271,Kolkata,No
37,Bank of India,Banking,44158,4.80%,"5,961",Mumbai,Yes
38,General Insurance Corporation of India,Insurance,43555,38.90%,3146,Mumbai,Yes
39,Kotak Mahindra Bank,Banking,38813,14.20%,6201,Mumbai,No
40,Union Bank of India,Banking,38413,0.40%,"5,212",Mumbai,Yes
41,Hindustan Unilever,Consumer goods,36088,7.10%,5214,Mumbai,No
42,Vodafone India,Telecommunication,34855,18.90%,7766,Mumbai,No
43,Tata Power,Utilities,33213,12.80%,2477,Mumbai,No
44,Chennai Petroleum Corporation,Oil and gas,33187,20.00%,927,Chennai,Yes
45,Hero MotoCorp,Automotive,33141,12.90%,3720,New Delhi,No
46,Tech Mahindra,Infotech,32190,7.60%,3800,Pune,No
47,UltraTech Cement,Cement,32106,23.70%,2222,Mumbai,No
48,Petronet LNG,Oil and gas,30949,23.90%,2110,New Delhi,Yes
49,Power Grid Corporation of India,Utilities,30908,16.10%,8198,Gurgaon,Yes
50,Bajaj Finserv,Financials,30599,24.90%,2741,Pune,No
